instrument_id,trading_day,open,high,low,close,volume,turnover,open_interest
T2412,20240314,103.71499633790000000,103.76000213620000000,103.59999847410000000,103.62500000000000000,246.000000,255011500.000000,322.000000
T2412,20240315,103.58999633790000000,103.78500366210000000,103.58000183110000000,103.70999908450000000,151.000000,156577750.000000,355.000000
T2412,20240318,103.66500091550000000,103.83999633790000000,103.61499786380000000,103.78500366210000000,126.000000,130753900.000000,360.000000
T2412,20240319,103.93499755860000000,103.95999908450000000,103.79499816890000000,103.95999908450000000,336.000000,348912800.000000,484.000000
T2412,20240320,103.94499969480000000,103.94499969480000000,103.77500152590000000,103.77500152590000000,150.000000,155750600.000000,484.000000
T2412,20240321,103.77500152590000000,103.91500091550000000,103.73000335690000000,103.91500091550000000,242.000000,251322750.000000,546.000000
T2412,20240322,103.88999938960000000,103.95999908450000000,103.65000152590000000,103.66000366210000000,354.000000,367664950.000000,663.000000
T2412,20240325,103.70500183110000000,103.75499725340000000,103.55999755860000000,103.62999725340000000,133.000000,137817800.000000,664.000000
T2412,20240326,103.63999938960000000,103.66500091550000000,103.55000305180000000,103.59500122070000000,125.000000,129514150.000000,696.000000
T2412,20240327,103.67500305180000000,103.77999877930000000,103.57499694820000000,103.73999786380000000,120.000000,124427650.000000,720.000000
T2412,20240328,103.72000122070000000,103.85500335690000000,103.71499633790000000,103.76000213620000000,189.000000,196170150.000000,732.000000
T2412,20240329,103.69999694820000000,103.98000335690000000,103.68000030520000000,103.97499847410000000,209.000000,217097400.000000,807.000000
T2412,20240401,103.81999969480000000,103.81999969480000000,103.64499664310000000,103.71499633790000000,104.000000,107852900.000000,807.000000
T2412,20240402,103.76999664310000000,103.80000305180000000,103.68000030520000000,103.76000213620000000,106.000000,109981050.000000,778.000000
T2412,20240403,103.81500244140000000,103.94000244140000000,103.81500244140000000,103.87000274660000000,169.000000,175569950.000000,835.000000
T2412,20240408,103.91000366210000000,104.03500366210000000,103.88500213620000000,103.96499633790000000,114.000000,118523100.000000,858.000000
T2412,20240409,103.97000122070000000,104.12000274660000000,103.94499969480000000,104.09999847410000000,163.000000,169637350.000000,891.000000
T2412,20240410,103.94999694820000000,104.04499816890000000,103.94000244140000000,104.00000000000000000,272.000000,282844950.000000,964.000000
T2412,20240411,103.98500061040000000,104.08499908450000000,103.95999908450000000,103.99500274660000000,333.000000,346408700.000000,1094.000000
T2412,20240412,104.12999725340000000,104.31500244140000000,104.12999725340000000,104.18499755860000000,506.000000,527324850.000000,1166.000000
T2412,20240415,104.29000091550000000,104.38500213620000000,104.23000335690000000,104.25499725340000000,693.000000,722865500.000000,1370.000000
T2412,20240416,104.29000091550000000,104.34999847410000000,104.27999877930000000,104.31500244140000000,377.000000,393234550.000000,1434.000000
T2412,20240417,104.36000061040000000,104.44000244140000000,104.33000183110000000,104.37000274660000000,258.000000,269297950.000000,1495.000000
T2412,20240418,104.37999725340000000,104.55999755860000000,104.36499786380000000,104.53500366210000000,338.000000,353163700.000000,1615.000000
T2412,20240419,104.54499816890000000,104.57499694820000000,104.50000000000000000,104.51999664310000000,147.000000,153663550.000000,1655.000000
T2412,20240422,104.57499694820000000,104.65000152590000000,104.57499694820000000,104.59500122070000000,289.000000,302323950.000000,1706.000000
T2412,20240423,104.65000152590000000,104.77500152590000000,104.61499786380000000,104.74500274660000000,227.000000,237698400.000000,1746.000000
T2412,20240424,104.66500091550000000,104.66500091550000000,104.41000366210000000,104.41000366210000000,283.000000,295682850.000000,1817.000000
